[2025-03-26 01:40:48,520] [INFO] django.utils.autoreload: Watching for file changes with StatReloader
[2025-03-26 01:41:17,046] [WARNING] django.request: Not Found: /favicon.ico
[2025-03-26 01:41:17,047] [WARNING] django.server: "GET /favicon.ico HTTP/1.1" 404 2438
[2025-03-26 01:41:17,589] [WARNING] django.request: Not Found: /logo192.png
[2025-03-26 01:41:17,590] [WARNING] django.server: "GET /logo192.png HTTP/1.1" 404 2438
[2025-03-26 01:41:21,121] [INFO] django.server: "OPTIONS /api/images/admin/images/ HTTP/1.1" 200 0
[2025-03-26 01:41:31,736] [INFO] django.server: "GET /api/images/admin/images/ HTTP/1.1" 200 4447
[2025-03-26 01:41:31,760] [INFO] django.server: "OPTIONS /api/images/20/file/ HTTP/1.1" 200 0
[2025-03-26 01:41:33,733] [INFO] django.server: "GET /api/images/20/file/ HTTP/1.1" 200 926776
[2025-03-26 01:41:33,741] [INFO] django.server: "OPTIONS /api/images/19/file/ HTTP/1.1" 200 0
[2025-03-26 01:41:35,238] [INFO] django.server: "GET /api/images/19/file/ HTTP/1.1" 200 2376929
[2025-03-26 01:41:35,556] [INFO] django.server: "OPTIONS /api/images/18/file/ HTTP/1.1" 200 0
[2025-03-26 01:41:38,978] [INFO] django.server: "GET /api/images/18/file/ HTTP/1.1" 200 3140244
[2025-03-26 01:41:38,989] [INFO] django.server: "OPTIONS /api/images/17/file/ HTTP/1.1" 200 0
[2025-03-26 01:41:42,469] [INFO] django.server: "GET /api/images/17/file/ HTTP/1.1" 200 2284140
[2025-03-26 01:41:42,781] [INFO] django.server: "OPTIONS /api/images/16/file/ HTTP/1.1" 200 0
[2025-03-26 01:41:43,598] [INFO] django.server: "GET /api/images/16/file/ HTTP/1.1" 200 709970
[2025-03-26 01:41:43,604] [INFO] django.server: "OPTIONS /api/images/15/file/ HTTP/1.1" 200 0
[2025-03-26 01:41:43,990] [INFO] django.server: "GET /api/images/15/file/ HTTP/1.1" 200 1432247
[2025-03-26 01:41:44,299] [INFO] django.server: "OPTIONS /api/images/14/file/ HTTP/1.1" 200 0
[2025-03-26 01:41:44,408] [INFO] django.server: "GET /api/images/14/file/ HTTP/1.1" 200 4765
[2025-03-26 01:41:44,567] [INFO] django.server: "OPTIONS /api/images/13/file/ HTTP/1.1" 200 0
[2025-03-26 01:41:44,700] [INFO] django.server: "GET /api/images/13/file/ HTTP/1.1" 200 9400
[2025-03-26 01:41:44,722] [INFO] django.server: "OPTIONS /api/images/12/file/ HTTP/1.1" 200 0
[2025-03-26 01:41:44,903] [INFO] django.server: "GET /api/images/12/file/ HTTP/1.1" 200 1035181
[2025-03-26 01:41:45,020] [INFO] django.server: "OPTIONS /api/images/11/file/ HTTP/1.1" 200 0
[2025-03-26 01:41:45,209] [INFO] django.server: "GET /api/images/11/file/ HTTP/1.1" 200 93150
[2025-03-26 01:42:22,268] [INFO] django.server: "OPTIONS /api/images/upload/ HTTP/1.1" 200 0
[2025-03-26 01:42:37,555] [INFO] django.server: "POST /api/images/upload/ HTTP/1.1" 201 441
[2025-03-26 01:42:37,562] [INFO] django.server: "OPTIONS /api/images/21/file/ HTTP/1.1" 200 0
[2025-03-26 01:42:37,681] [INFO] django.server: "GET /api/images/21/file/ HTTP/1.1" 200 25949
[2025-03-26 01:42:53,682] [INFO] django.server: "GET /api/images/20/file/ HTTP/1.1" 200 926776
[2025-03-26 01:43:02,434] [INFO] django.server: "GET /api/images/admin/images/ HTTP/1.1" 200 4447
[2025-03-26 01:43:02,469] [INFO] django.server: "GET /api/images/19/file/ HTTP/1.1" 200 2376929
[2025-03-26 01:43:02,548] [INFO] django.server: "GET /api/images/21/file/ HTTP/1.1" 200 25949
[2025-03-26 01:43:07,123] [INFO] django.server: "GET /api/images/20/file/ HTTP/1.1" 200 926776
[2025-03-26 01:43:07,156] [INFO] django.server: "GET /api/images/18/file/ HTTP/1.1" 200 3140244
[2025-03-26 01:43:11,531] [INFO] django.server: "GET /api/images/17/file/ HTTP/1.1" 200 2284140
[2025-03-26 01:43:11,532] [INFO] django.server: "GET /api/images/19/file/ HTTP/1.1" 200 2376929
[2025-03-26 01:43:12,340] [INFO] django.server: "GET /api/images/16/file/ HTTP/1.1" 200 709970
[2025-03-26 01:43:14,512] [INFO] django.server: "GET /api/images/15/file/ HTTP/1.1" 200 1432247
[2025-03-26 01:43:14,537] [INFO] django.server: "GET /api/images/18/file/ HTTP/1.1" 200 3140244
[2025-03-26 01:43:14,939] [INFO] django.server: "GET /api/images/14/file/ HTTP/1.1" 200 4765
[2025-03-26 01:43:15,390] [INFO] django.server: "GET /api/images/13/file/ HTTP/1.1" 200 9400
[2025-03-26 01:43:15,876] [INFO] django.server: "GET /api/images/12/file/ HTTP/1.1" 200 1035181
[2025-03-26 01:43:18,519] [INFO] django.server: "GET /api/images/17/file/ HTTP/1.1" 200 2284140
[2025-03-26 01:43:18,654] [INFO] django.server: "GET /api/images/11/file/ HTTP/1.1" 200 93150
[2025-03-26 01:43:19,310] [INFO] django.server: "GET /api/images/16/file/ HTTP/1.1" 200 709970
[2025-03-26 01:43:19,981] [INFO] django.server: "GET /api/images/15/file/ HTTP/1.1" 200 1432247
[2025-03-26 01:43:20,076] [INFO] django.server: "GET /api/images/14/file/ HTTP/1.1" 200 4765
[2025-03-26 01:43:20,506] [INFO] django.server: "GET /api/images/13/file/ HTTP/1.1" 200 9400
[2025-03-26 01:43:20,818] [INFO] django.server: "GET /api/images/12/file/ HTTP/1.1" 200 1035181
[2025-03-26 01:43:46,517] [INFO] django.utils.autoreload: Watching for file changes with StatReloader
[2025-03-26 01:51:47,192] [INFO] django.utils.autoreload: F:\MyProject\backend\django_backend\settings.py changed, reloading.
[2025-03-26 01:51:48,593] [INFO] django.utils.autoreload: Watching for file changes with StatReloader
[2025-03-26 01:53:24,651] [INFO] django.utils.autoreload: F:\MyProject\backend\django_backend\settings.py changed, reloading.
[2025-03-26 01:53:25,605] [INFO] django.utils.autoreload: Watching for file changes with StatReloader
[2025-03-26 01:56:32,572] [INFO] django.utils.autoreload: Watching for file changes with StatReloader
[2025-03-26 01:57:25,319] [INFO] django.utils.autoreload: Watching for file changes with StatReloader
[2025-03-26 01:58:07,819] [INFO] django.utils.autoreload: F:\MyProject\backend\django_backend\settings.py changed, reloading.
[2025-03-26 01:58:08,792] [INFO] django.utils.autoreload: Watching for file changes with StatReloader
[2025-03-26 01:58:59,469] [INFO] django.utils.autoreload: F:\MyProject\backend\django_backend\settings.py changed, reloading.
[2025-03-26 01:59:00,676] [INFO] django.utils.autoreload: Watching for file changes with StatReloader
[2025-03-26 01:59:36,734] [INFO] django.server: "POST /api/images/upload/ HTTP/1.1" 201 441
[2025-03-26 01:59:36,739] [INFO] django.server: "OPTIONS /api/images/22/file/ HTTP/1.1" 200 0
[2025-03-26 01:59:36,856] [INFO] django.server: "GET /api/images/22/file/ HTTP/1.1" 200 27588
[2025-03-26 02:00:14,087] [WARNING] django.request: Bad Request: /api/images/upload/
[2025-03-26 02:00:14,089] [WARNING] django.server: "POST /api/images/upload/ HTTP/1.1" 400 127
[2025-03-26 02:00:42,375] [WARNING] django.request: Bad Request: /api/images/upload/
[2025-03-26 02:00:42,375] [WARNING] django.server: "POST /api/images/upload/ HTTP/1.1" 400 142
[2025-03-26 02:01:00,588] [INFO] django.server: "GET /api/images/21/file/ HTTP/1.1" 200 25949
[2025-03-26 02:01:02,949] [INFO] django.server: "GET /api/images/20/file/ HTTP/1.1" 200 926776
[2025-03-26 02:01:10,423] [INFO] django.server: "GET /api/images/admin/images/ HTTP/1.1" 200 4447
[2025-03-26 02:01:10,533] [INFO] django.server: "GET /api/images/22/file/ HTTP/1.1" 200 27588
[2025-03-26 02:01:10,968] [INFO] django.server: "GET /api/images/21/file/ HTTP/1.1" 200 25949
[2025-03-26 02:01:12,138] [INFO] django.server: "GET /api/images/19/file/ HTTP/1.1" 200 2376929
[2025-03-26 02:01:16,632] [INFO] django.server: "GET /api/images/20/file/ HTTP/1.1" 200 926776
[2025-03-26 02:01:16,674] [INFO] django.server: "GET /api/images/18/file/ HTTP/1.1" 200 3140244
[2025-03-26 02:01:20,847] [INFO] django.server: "GET /api/images/17/file/ HTTP/1.1" 200 2284140
[2025-03-26 02:01:20,850] [INFO] django.server: "GET /api/images/19/file/ HTTP/1.1" 200 2376929
[2025-03-26 02:01:23,587] [INFO] django.server: "GET /api/images/16/file/ HTTP/1.1" 200 709970
[2025-03-26 02:01:23,652] [INFO] django.server: "GET /api/images/18/file/ HTTP/1.1" 200 3140244
[2025-03-26 02:01:23,964] [INFO] django.server: "GET /api/images/15/file/ HTTP/1.1" 200 1432247
[2025-03-26 02:01:24,370] [INFO] django.server: "GET /api/images/14/file/ HTTP/1.1" 200 4765
[2025-03-26 02:01:24,810] [INFO] django.server: "GET /api/images/13/file/ HTTP/1.1" 200 9400
[2025-03-26 02:01:27,585] [INFO] django.server: "GET /api/images/17/file/ HTTP/1.1" 200 2284140
[2025-03-26 02:01:27,722] [INFO] django.server: "GET /api/images/12/file/ HTTP/1.1" 200 1035181
[2025-03-26 02:01:28,374] [INFO] django.server: "GET /api/images/16/file/ HTTP/1.1" 200 709970
[2025-03-26 02:01:29,062] [INFO] django.server: "GET /api/images/15/file/ HTTP/1.1" 200 1432247
[2025-03-26 02:01:29,162] [INFO] django.server: "GET /api/images/14/file/ HTTP/1.1" 200 4765
[2025-03-26 02:01:29,595] [INFO] django.server: "GET /api/images/13/file/ HTTP/1.1" 200 9400
[2025-03-26 02:01:54,686] [INFO] django.server: "POST /api/images/upload/ HTTP/1.1" 201 441
[2025-03-26 02:01:55,007] [INFO] django.server: "OPTIONS /api/images/23/file/ HTTP/1.1" 200 0
[2025-03-26 02:01:55,174] [INFO] django.server: "GET /api/images/23/file/ HTTP/1.1" 200 62273
[2025-03-26 02:02:29,597] [INFO] django.server: "POST /api/images/upload/ HTTP/1.1" 201 441
[2025-03-26 02:02:29,605] [INFO] django.server: "OPTIONS /api/images/24/file/ HTTP/1.1" 200 0
[2025-03-26 02:02:29,807] [INFO] django.server: "GET /api/images/24/file/ HTTP/1.1" 200 98083
[2025-03-27 00:42:54,807] [INFO] django.utils.autoreload: Watching for file changes with StatReloader
[2025-03-27 00:43:14,206] [WARNING] django.request: Not Found: /favicon.ico
[2025-03-27 00:43:14,207] [WARNING] django.server: "GET /favicon.ico HTTP/1.1" 404 2438
[2025-03-27 00:43:14,448] [INFO] django.server: "OPTIONS /api/images/admin/images/ HTTP/1.1" 200 0
[2025-03-27 00:43:14,501] [WARNING] django.request: Unauthorized: /api/images/admin/images/
[2025-03-27 00:43:14,502] [WARNING] django.server: "GET /api/images/admin/images/ HTTP/1.1" 401 183
[2025-03-27 00:43:14,508] [INFO] django.server: "OPTIONS /api/auth/token/refresh/ HTTP/1.1" 200 0
[2025-03-27 00:43:14,512] [INFO] django.server: "POST /api/auth/token/refresh/ HTTP/1.1" 200 218
[2025-03-27 00:43:30,671] [INFO] django.server: "GET /api/images/admin/images/ HTTP/1.1" 200 4446
[2025-03-27 00:43:30,700] [INFO] django.server: "OPTIONS /api/images/24/file/ HTTP/1.1" 200 0
[2025-03-27 00:43:30,959] [INFO] django.server: "GET /api/images/24/file/ HTTP/1.1" 200 98083
