[2025-03-26 01:59:07,260] [INFO] apps.images.services.detection_service: Deepfake detection model loaded successfully
[2025-03-26 01:59:21,780] [INFO] apps.images.services.detection_service: Starting SHA256 calculation
[2025-03-26 01:59:21,780] [INFO] apps.images.services.detection_service: Starting SHA256 hash calculation
[2025-03-26 01:59:21,781] [INFO] apps.images.services.detection_service: SHA256 hash calculation completed in 0.000s: d15521a7c0...
[2025-03-26 01:59:21,785] [INFO] apps.images.services.detection_service: Starting image similarity verification
[2025-03-26 01:59:21,785] [INFO] apps.images.services.detection_service: Starting SHA256 calculation
[2025-03-26 01:59:21,786] [INFO] apps.images.services.detection_service: Starting SHA256 hash calculation
[2025-03-26 01:59:21,787] [INFO] apps.images.services.detection_service: SHA256 hash calculation completed in 0.000s: d15521a7c0...
[2025-03-26 01:59:21,787] [INFO] apps.images.services.detection_service: Image hash: d15521a7c0...
[2025-03-26 01:59:21,789] [INFO] apps.images.services.detection_service: Starting ORB feature extraction
[2025-03-26 01:59:22,056] [INFO] apps.images.services.detection_service: ORB feature extraction completed in 0.266s: 585 keypoints extracted
[2025-03-26 01:59:22,057] [INFO] apps.images.services.detection_service: Comparing against 20 images with ORB features
[2025-03-26 01:59:33,631] [INFO] apps.images.services.detection_service: Starting ORB feature comparison
[2025-03-26 01:59:33,703] [INFO] apps.images.services.detection_service: ORB comparison completed in 0.071s: similarity=0.0085
[2025-03-26 01:59:33,704] [INFO] apps.images.services.detection_service: Starting ORB feature comparison
[2025-03-26 01:59:33,763] [INFO] apps.images.services.detection_service: ORB comparison completed in 0.058s: similarity=0.0650
[2025-03-26 01:59:33,763] [INFO] apps.images.services.detection_service: Starting ORB feature comparison
[2025-03-26 01:59:33,821] [INFO] apps.images.services.detection_service: ORB comparison completed in 0.057s: similarity=0.0376
[2025-03-26 01:59:33,822] [INFO] apps.images.services.detection_service: Starting ORB feature comparison
[2025-03-26 01:59:33,868] [INFO] apps.images.services.detection_service: ORB comparison completed in 0.046s: similarity=0.0188
[2025-03-26 01:59:33,868] [INFO] apps.images.services.detection_service: Starting ORB feature comparison
[2025-03-26 01:59:33,927] [INFO] apps.images.services.detection_service: ORB comparison completed in 0.057s: similarity=0.0410
[2025-03-26 01:59:33,927] [INFO] apps.images.services.detection_service: Starting ORB feature comparison
[2025-03-26 01:59:33,972] [INFO] apps.images.services.detection_service: ORB comparison completed in 0.045s: similarity=0.0513
[2025-03-26 01:59:33,973] [INFO] apps.images.services.detection_service: Starting ORB feature comparison
[2025-03-26 01:59:34,032] [INFO] apps.images.services.detection_service: ORB comparison completed in 0.058s: similarity=0.0701
[2025-03-26 01:59:34,033] [INFO] apps.images.services.detection_service: Starting ORB feature comparison
[2025-03-26 01:59:34,073] [INFO] apps.images.services.detection_service: ORB comparison completed in 0.039s: similarity=0.0309
[2025-03-26 01:59:34,074] [INFO] apps.images.services.detection_service: Starting ORB feature comparison
[2025-03-26 01:59:34,131] [INFO] apps.images.services.detection_service: ORB comparison completed in 0.057s: similarity=0.1043
[2025-03-26 01:59:34,132] [INFO] apps.images.services.detection_service: Starting ORB feature comparison
[2025-03-26 01:59:34,189] [INFO] apps.images.services.detection_service: ORB comparison completed in 0.058s: similarity=0.0718
[2025-03-26 01:59:34,190] [INFO] apps.images.services.detection_service: Starting ORB feature comparison
[2025-03-26 01:59:34,237] [INFO] apps.images.services.detection_service: ORB comparison completed in 0.047s: similarity=0.0325
[2025-03-26 01:59:34,238] [INFO] apps.images.services.detection_service: Starting ORB feature comparison
[2025-03-26 01:59:34,296] [INFO] apps.images.services.detection_service: ORB comparison completed in 0.057s: similarity=0.0462
[2025-03-26 01:59:34,296] [INFO] apps.images.services.detection_service: Starting ORB feature comparison
[2025-03-26 01:59:34,354] [INFO] apps.images.services.detection_service: ORB comparison completed in 0.057s: similarity=0.0803
[2025-03-26 01:59:34,356] [INFO] apps.images.services.detection_service: Starting ORB feature comparison
[2025-03-26 01:59:34,415] [INFO] apps.images.services.detection_service: ORB comparison completed in 0.058s: similarity=0.0274
[2025-03-26 01:59:34,415] [INFO] apps.images.services.detection_service: Starting ORB feature comparison
[2025-03-26 01:59:34,473] [INFO] apps.images.services.detection_service: ORB comparison completed in 0.057s: similarity=0.0632
[2025-03-26 01:59:34,474] [INFO] apps.images.services.detection_service: Starting ORB feature comparison
[2025-03-26 01:59:34,532] [INFO] apps.images.services.detection_service: ORB comparison completed in 0.058s: similarity=0.0171
[2025-03-26 01:59:34,532] [INFO] apps.images.services.detection_service: Starting ORB feature comparison
[2025-03-26 01:59:34,589] [INFO] apps.images.services.detection_service: ORB comparison completed in 0.056s: similarity=0.0581
[2025-03-26 01:59:34,590] [INFO] apps.images.services.detection_service: Starting ORB feature comparison
[2025-03-26 01:59:34,647] [INFO] apps.images.services.detection_service: ORB comparison completed in 0.057s: similarity=0.0479
[2025-03-26 01:59:34,648] [INFO] apps.images.services.detection_service: Starting ORB feature comparison
[2025-03-26 01:59:34,707] [INFO] apps.images.services.detection_service: ORB comparison completed in 0.057s: similarity=0.0171
[2025-03-26 01:59:34,708] [INFO] apps.images.services.detection_service: Starting ORB feature comparison
[2025-03-26 01:59:34,751] [INFO] apps.images.services.detection_service: ORB comparison completed in 0.043s: similarity=0.0427
[2025-03-26 01:59:34,752] [INFO] apps.images.services.detection_service: Top ORB similarities: [{'image_id': 5, 'similarity': 0.10427350427350428}, {'image_id': 9, 'similarity': 0.08034188034188035}, {'image_id': 6, 'similarity': 0.07179487179487179}, {'image_id': 3, 'similarity': 0.07008547008547009}, {'image_id': 11, 'similarity': 0.06495726495726496}, {'image_id': 16, 'similarity': 0.06324786324786325}, {'image_id': 18, 'similarity': 0.05811965811965812}, {'image_id': 2, 'similarity': 0.05128205128205128}, {'image_id': 19, 'similarity': 0.04786324786324787}, {'image_id': 8, 'similarity': 0.046153846153846156}]
[2025-03-26 01:59:34,752] [INFO] apps.images.services.detection_service: No similar images found using ORB features
[2025-03-26 01:59:34,753] [INFO] apps.images.services.detection_service: Image similarity verification completed in 12.968s: No similar images found
[2025-03-26 01:59:35,169] [INFO] apps.images.services.detection_service: Starting ORB feature extraction
[2025-03-26 01:59:35,175] [INFO] apps.images.services.detection_service: ORB feature extraction completed in 0.005s: 585 keypoints extracted
[2025-03-26 01:59:35,175] [INFO] apps.images.services.detection_service: Starting SIFT feature extraction
[2025-03-26 01:59:35,191] [INFO] apps.images.services.detection_service: SIFT feature extraction completed in 0.015s: 154 keypoints extracted
[2025-03-26 02:00:01,343] [INFO] apps.images.services.detection_service: Starting SHA256 calculation
[2025-03-26 02:00:01,343] [INFO] apps.images.services.detection_service: Starting SHA256 hash calculation
[2025-03-26 02:00:01,343] [INFO] apps.images.services.detection_service: SHA256 hash calculation completed in 0.000s: 84abf4862d...
[2025-03-26 02:00:01,347] [INFO] apps.images.services.detection_service: Starting image similarity verification
[2025-03-26 02:00:01,347] [INFO] apps.images.services.detection_service: Starting SHA256 calculation
[2025-03-26 02:00:01,347] [INFO] apps.images.services.detection_service: Starting SHA256 hash calculation
[2025-03-26 02:00:01,348] [INFO] apps.images.services.detection_service: SHA256 hash calculation completed in 0.000s: 84abf4862d...
[2025-03-26 02:00:01,348] [INFO] apps.images.services.detection_service: Image hash: 84abf4862d...
[2025-03-26 02:00:01,350] [INFO] apps.images.services.detection_service: Starting ORB feature extraction
[2025-03-26 02:00:01,353] [INFO] apps.images.services.detection_service: ORB feature extraction completed in 0.003s: 299 keypoints extracted
[2025-03-26 02:00:01,354] [INFO] apps.images.services.detection_service: Comparing against 21 images with ORB features
[2025-03-26 02:00:12,635] [INFO] apps.images.services.detection_service: Starting ORB feature comparison
[2025-03-26 02:00:12,687] [INFO] apps.images.services.detection_service: ORB comparison completed in 0.052s: similarity=0.0468
[2025-03-26 02:00:12,688] [INFO] apps.images.services.detection_service: Starting ORB feature comparison
[2025-03-26 02:00:12,738] [INFO] apps.images.services.detection_service: ORB comparison completed in 0.049s: similarity=0.1973
[2025-03-26 02:00:12,739] [INFO] apps.images.services.detection_service: Starting ORB feature comparison
[2025-03-26 02:00:12,789] [INFO] apps.images.services.detection_service: ORB comparison completed in 0.049s: similarity=0.1104
[2025-03-26 02:00:12,790] [INFO] apps.images.services.detection_service: Starting ORB feature comparison
[2025-03-26 02:00:12,830] [INFO] apps.images.services.detection_service: ORB comparison completed in 0.040s: similarity=0.0201
[2025-03-26 02:00:12,831] [INFO] apps.images.services.detection_service: Starting ORB feature comparison
[2025-03-26 02:00:12,880] [INFO] apps.images.services.detection_service: ORB comparison completed in 0.049s: similarity=0.1304
[2025-03-26 02:00:12,881] [INFO] apps.images.services.detection_service: Starting ORB feature comparison
[2025-03-26 02:00:12,918] [INFO] apps.images.services.detection_service: ORB comparison completed in 0.037s: similarity=0.0602
[2025-03-26 02:00:12,919] [INFO] apps.images.services.detection_service: Starting ORB feature comparison
[2025-03-26 02:00:12,969] [INFO] apps.images.services.detection_service: ORB comparison completed in 0.050s: similarity=0.0803
[2025-03-26 02:00:12,970] [INFO] apps.images.services.detection_service: Starting ORB feature comparison
[2025-03-26 02:00:12,999] [INFO] apps.images.services.detection_service: ORB comparison completed in 0.029s: similarity=0.0100
[2025-03-26 02:00:13,000] [INFO] apps.images.services.detection_service: Starting ORB feature comparison
[2025-03-26 02:00:13,049] [INFO] apps.images.services.detection_service: ORB comparison completed in 0.049s: similarity=0.1338
[2025-03-26 02:00:13,050] [INFO] apps.images.services.detection_service: Starting ORB feature comparison
[2025-03-26 02:00:13,099] [INFO] apps.images.services.detection_service: ORB comparison completed in 0.048s: similarity=0.1438
[2025-03-26 02:00:13,099] [INFO] apps.images.services.detection_service: Starting ORB feature comparison
[2025-03-26 02:00:13,138] [INFO] apps.images.services.detection_service: ORB comparison completed in 0.038s: similarity=0.0468
[2025-03-26 02:00:13,138] [INFO] apps.images.services.detection_service: Starting ORB feature comparison
[2025-03-26 02:00:13,192] [INFO] apps.images.services.detection_service: ORB comparison completed in 0.053s: similarity=0.1003
